"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"5.6.2023 15:6:31",4,203,609,10.9
"5.6.2023 15:6:37",1,200,600,10
"5.6.2023 15:6:37",2,200,600,10
"5.6.2023 15:6:37",3,203,609,10.9
"5.6.2023 15:6:37",4,201,603,10.3
"5.6.2023 15:6:44",1,202,606,10.6
"5.6.2023 15:6:44",2,201,603,10.3
"5.6.2023 15:6:44",3,203,609,10.9
"5.6.2023 15:6:44",4,202,606,10.6
"5.6.2023 15:6:51",1,202,606,10.6
"5.6.2023 15:6:51",2,203,609,10.9
"5.6.2023 15:6:51",3,204,612,11.2
"5.6.2023 15:6:51",4,201,603,10.3
"5.6.2023 15:6:58",1,202,606,10.6
"5.6.2023 15:6:58",2,201,603,10.3
"5.6.2023 15:6:58",3,203,609,10.9
"5.6.2023 15:6:58",4,201,603,10.3
"5.6.2023 15:7:4",1,202,606,10.6
"5.6.2023 15:7:4",2,200,600,10
"5.6.2023 15:7:4",3,203,609,10.9
"5.6.2023 15:7:4",4,202,606,10.6
"5.6.2023 15:7:11",1,202,606,10.6
"5.6.2023 15:7:11",2,201,603,10.3
"5.6.2023 15:7:11",3,204,612,11.2
"5.6.2023 15:7:11",4,201,603,10.3
"5.6.2023 15:7:18",1,202,606,10.6
"5.6.2023 15:7:18",2,201,603,10.3
"5.6.2023 15:7:18",3,204,612,11.2
