"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"8.6.2023 9:44:26",2,206,618,11.8
"8.6.2023 9:44:26",3,206,618,11.8
"8.6.2023 9:44:26",4,205,615,11.5
"8.6.2023 9:44:36",1,206,618,11.8
"8.6.2023 9:44:36",2,206,618,11.8
"8.6.2023 9:44:36",3,206,618,11.8
"8.6.2023 9:44:36",4,204,612,11.2
"8.6.2023 9:44:45",1,206,618,11.8
"8.6.2023 9:44:45",2,205,615,11.5
"8.6.2023 9:44:45",3,206,618,11.8
"8.6.2023 9:44:45",4,205,615,11.5
"8.6.2023 9:44:55",1,206,618,11.8
"8.6.2023 9:44:55",2,205,615,11.5
"8.6.2023 9:44:55",3,207,621,12.1
"8.6.2023 9:44:55",4,206,618,11.8
"8.6.2023 9:45:5",1,206,618,11.8
"8.6.2023 9:45:5",2,207,621,12.1
"8.6.2023 9:45:5",3,207,621,12.1
"8.6.2023 9:45:5",4,205,615,11.5
"8.6.2023 9:45:14",1,205,615,11.5
"8.6.2023 9:45:14",2,206,618,11.8
"8.6.2023 9:45:14",3,207,621,12.1
"8.6.2023 9:45:14",4,204,612,11.2
"8.6.2023 9:45:24",1,207,621,12.1
"8.6.2023 9:45:24",2,206,618,11.8
"8.6.2023 9:45:24",3,205,615,11.5
"8.6.2023 9:45:24",4,205,615,11.5
"8.6.2023 9:45:33",1,206,618,11.8
"8.6.2023 9:45:33",2,206,618,11.8
"8.6.2023 9:45:33",3,206,618,11.8
"8.6.2023 9:45:33",4,205,615,11.5
"8.6.2023 9:45:43",1,206,618,11.8
"8.6.2023 9:45:43",2,206,618,11.8
"8.6.2023 9:45:43",3,206,618,11.8
"8.6.2023 9:45:43",4,205,615,11.5
"8.6.2023 9:45:53",1,205,615,11.5
"8.6.2023 9:45:53",2,205,615,11.5
"8.6.2023 9:45:53",3,207,621,12.1
"8.6.2023 9:45:53",4,205,615,11.5
"8.6.2023 9:46:2",1,205,615,11.5
"8.6.2023 9:46:2",2,206,618,11.8
"8.6.2023 9:46:2",3,207,621,12.1
"8.6.2023 9:46:2",4,206,618,11.8
"8.6.2023 9:46:12",1,206,618,11.8
"8.6.2023 9:46:12",2,205,615,11.5
"8.6.2023 9:46:12",3,206,618,11.8
"8.6.2023 9:46:12",4,205,615,11.5
"8.6.2023 9:46:21",1,206,618,11.8
"8.6.2023 9:46:21",2,204,612,11.2
"8.6.2023 9:46:21",3,207,621,12.1
"8.6.2023 9:46:21",4,205,615,11.5
"8.6.2023 9:46:31",1,206,618,11.8
"8.6.2023 9:46:31",2,206,618,11.8
"8.6.2023 9:46:31",3,206,618,11.8
"8.6.2023 9:46:31",4,205,615,11.5
"8.6.2023 9:46:40",1,207,621,12.1
"8.6.2023 9:46:40",2,205,615,11.5
"8.6.2023 9:46:40",3,207,621,12.1
"8.6.2023 9:46:40",4,206,618,11.8
"8.6.2023 9:46:50",1,206,618,11.8
"8.6.2023 9:46:50",2,207,621,12.1
"8.6.2023 9:46:50",3,206,618,11.8
"8.6.2023 9:46:50",4,205,615,11.5
"8.6.2023 9:47:0",1,206,618,11.8
"8.6.2023 9:47:0",2,206,618,11.8
"8.6.2023 9:47:0",3,206,618,11.8
"8.6.2023 9:47:0",4,205,615,11.5
"8.6.2023 9:47:9",1,205,615,11.5
"8.6.2023 9:47:9",2,205,615,11.5
"8.6.2023 9:47:9",3,206,618,11.8
"8.6.2023 9:47:9",4,205,615,11.5
"8.6.2023 9:47:19",1,206,618,11.8
